Sat Dec 26, 2026 – Fri Jan 1, 2027	NO WEEK NUMBER
Sat Jan 2 – Fri Jan 8, 2027		NO WEEK NUMBER
Sat Jan 9 – Fri Jan 15, 2027		week 1 (starts Monday Jan 11, this week only on Monday, every other week Saturday.  Winter week 1 always starts second Monday in January)
Sat Jan 16 – Fri Jan 22, 2027		week 2
Sat Jan 23 – Fri Jan 29, 2027		week 3
Sat Jan 30 – Fri Feb 5, 2027		week 4
Sat Feb 6 – Fri Feb 12, 2027		week 5
Sat Feb 13 – Fri Feb 19, 2027		break week (I believe this is always the same week as Family Day in Ontario)
Sat Feb 20 – Fri Feb 26, 2027		week 6
Sat Feb 27 – Fri Mar 5, 2027		week 7
Sat Mar 6 – Fri Mar 12, 2027		week 8
Sat Mar 13 – Fri Mar 19, 2027		week 9
Sat Mar 20 – Fri Mar 26, 2027		week 10
Sat Mar 27 – Fri Apr 2, 2027		week 11
Sat Apr 3 – Fri Apr 9, 2027		week 12
Sat Apr 10 – Fri Apr 16, 2027		week 13
Sat Apr 17 – Fri Apr 23, 2027		NO WEEK NUMBER
Sat Apr 24 – Fri Apr 30, 2027		NO WEEK NUMBER
Sat May 1 – Fri May 7, 2027		week 1 (starts Monday Jan 11, this week only on Monday, every other week Saturday.  Always starts the first Monday in May)
Sat May 8 – Fri May 14, 2027		week 2
Sat May 15 – Fri May 21, 2027		week 3
Sat May 22 – Fri May 28, 2027		week 4
Sat May 29 – Fri Jun 4, 2027		week 5
Sat Jun 5 – Fri Jun 11, 2027		week 6
Sat Jun 12 – Fri Jun 18, 2027		week 7
Sat Jun 19 – Fri Jun 25, 2027		week 8/1
Sat Jun 26 – Fri Jul 2, 2027		week 9/2
Sat Jul 3 – Fri Jul 9, 2027		week 10/3
Sat Jul 10 – Fri Jul 16, 2027		week 11/4
Sat Jul 17 – Fri Jul 23, 2027		week 12/5
Sat Jul 24 – Fri Jul 30, 2027		week 13/6
Sat Jul 31 – Fri Aug 6, 2027		week 14/7
Sat Aug 7 – Fri Aug 13, 2027		NO WEEK NUMBER
Sat Aug 14 – Fri Aug 20, 2027		NO WEEK NUMBER
Sat Aug 21 – Fri Aug 27, 2027		NO WEEK NUMBER
Sat Aug 28 – Fri Sep 3, 2027		NO WEEK NUMBER
Sat Sep 4 – Fri Sep 10, 2027		NO WEEK NUMBER
Sat Sep 11 – Fri Sep 17, 2027		week 1 (starts Monday Jan 11, this week only on Monday, every other week Saturday.  Always starts the Monday after Labour Day in September)
Sat Sep 18 – Fri Sep 24, 2027		week 2
Sat Sep 25 – Fri Oct 1, 2027		week 3
Sat Oct 2 – Fri Oct 8, 2027		week 4
Sat Oct 9 – Fri Oct 15, 2027		break (this may change, I don't know this one for certain yet, it may be the following week thta is a break so give me a popup and be prepared to change this date at the beginning of the semeseter)
Sat Oct 16 – Fri Oct 22, 2027		week 5
Sat Oct 23 – Fri Oct 29, 2027		week 6
Sat Oct 30 – Fri Nov 5, 2027		week 7
Sat Nov 6 – Fri Nov 12, 2027		week 8
Sat Nov 13 – Fri Nov 19, 2027		week 9
Sat Nov 20 – Fri Nov 26, 2027		week 10
Sat Nov 27 – Fri Dec 3, 2027		week 11
Sat Dec 4 – Fri Dec 10, 2027		week 12
Sat Dec 11 – Fri Dec 17, 2027		week 13
Sat Dec 18 – Fri Dec 24, 2027		NO WEEK NUMBER
Sat Dec 25 – Fri Dec 31, 2027		NO WEEK NUMBER
