byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --lines 500 --nostream
[TAILING] Tailing last 500 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 500 lines:
PM2        | 2026-04-07T11:08:17: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:21: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:21: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:21: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:28: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:28: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:28: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:32: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:32: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:32: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:36: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:36: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:36: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:40: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:40: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:40: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:44: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:44: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:44: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:49: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:49: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:49: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:08:55: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:08:55: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:08:55: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:09:00: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:09:00: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:09:00: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:09:05: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:09:05: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:09:05: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:09:10: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:09:10: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:09:10: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:09:14: PM2 log: Stopping app:unical id:0
PM2        | 2026-04-07T11:09:14: PM2 log: App [unical:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-07T11:09:14: PM2 log: pid=631024 msg=process killed
PM2        | 2026-04-07T11:10:05: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:05: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:09: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:09: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:09: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:13: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:13: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:13: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:17: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:17: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:17: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:21: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:21: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:21: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:25: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:25: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:25: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:29: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:29: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:29: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:33: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:33: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:33: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:37: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:37: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:37: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:41: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:41: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:41: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:44: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:44: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:44: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:48: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:48: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:48: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:52: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:52: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:52: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:10:56: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:10:56: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:10:56: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:00: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:00: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:00: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:04: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:04: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:04: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:08: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:08: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:08: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:11: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:11: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:11: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:15: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:15: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:15: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:19: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:19: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:19: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:23: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:23: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:23: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:27: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:27: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:27: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:31: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:31: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:31: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:35: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:35: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:35: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:39: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:39: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:39: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:42: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:42: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:42: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:46: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:46: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:46: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:50: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:50: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:50: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:54: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:54: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:54: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:11:58: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:11:58: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:11:58: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:02: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:02: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:02: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:06: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:06: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:06: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] online
