byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T10:54:17: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:17: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:17: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:20: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:20: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:20: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:28: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:28: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:28: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:32: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:32: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:32: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:36: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:36: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:36: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:40: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:40: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:40: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:44: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:44: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:44: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:48: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:48: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:48: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:52: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:52: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:52: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:56: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:56: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:56: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:54:59: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:54:59: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:54:59: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:03: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:03: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:03: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:07: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:07: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:07: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:11: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:11: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:11: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:15: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:15: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:15: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:19: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:19: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:19: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:22: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:23: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:23: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:30: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:30: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:30: PM2 log: App [unical:0] online
