yhomeyyz@raspberrypi:~/Home-View $ pm2 logs --lines 5000 --nostream 2>&1 | grep "5:2[4-6]" | grep -v "GET /api/cat-wash/progress\|GET /api/automation-cooldown" | head -60
PM2        | 2026-04-07T08:45:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T08:45:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T08:45:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T09:45:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T09:45:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T09:45:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T09:55:25: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T09:55:25: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T09:55:25: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:05:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:05:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:05:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:25:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:25:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:25:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:35:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:35:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:35:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:45:24: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:45:24: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:45:24: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:55:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:05:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:05:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:05:26: PM2 log: App [unical:0] online
